store_id,product_id,current_stock,last_restocked_date
S001,P001,18,2026-08-15
S001,P002,48,2026-08-29
S001,P003,80,2026-08-20
S001,P004,28,2026-08-21
S001,P005,23,2026-08-26
S001,P006,39,2026-08-28
S001,P007,91,2026-08-19
S001,P008,92,2026-08-19
S001,P009,14,2026-08-10
S001,P010,39,2026-08-17
S001,P011,33,2026-08-23
S001,P012,35,2026-08-19
S001,P013,55,2026-08-16
S001,P014,23,2026-08-18
S001,P015,55,2026-08-11
S002,P001,53,2026-08-26
S002,P002,37,2026-08-28
S002,P003,72,2026-08-27
S002,P004,4,2026-08-18
S002,P005,20,2026-08-30
S002,P006,39,2026-08-26
S002,P007,92,2026-08-28
S002,P008,71,2026-08-18
S002,P009,107,2026-08-13
S002,P010,59,2026-08-16
S002,P011,42,2026-08-13
S002,P012,23,2026-08-17
S002,P013,70,2026-08-26
S002,P014,33,2026-08-12
S002,P015,54,2026-08-19
S003,P001,70,2026-08-20
S003,P002,45,2026-08-12
S003,P003,84,2026-08-31
S003,P004,27,2026-08-27
S003,P005,95,2026-07-01
S003,P006,46,2026-08-16
S003,P007,104,2026-08-16
S003,P008,57,2026-08-28
S003,P009,144,2026-08-18
S003,P010,48,2026-08-17
S003,P011,37,2026-08-30
S003,P012,31,2026-08-29
S003,P013,55,2026-08-23
S003,P014,31,2026-08-11
S003,P015,40,2026-08-21
S004,P001,41,2026-08-31
S004,P002,35,2026-08-15
S004,P003,80,2026-08-13
S004,P004,29,2026-08-13
S004,P005,30,2026-08-24
S004,P006,39,2026-08-21
S004,P007,116,2026-08-15
S004,P008,68,2026-08-15
S004,P009,109,2026-08-12
S004,P010,50,2026-08-28
S004,P011,0,2026-07-20
S004,P012,33,2026-08-18
S004,P013,57,2026-08-24
S004,P014,80,2026-06-15
S004,P015,41,2026-08-16
