transaction_id,date,store_id,product_id,quantity,unit_price,total_amount
TX10001,2026-07-07,S001,P001,3,29.99,89.97
TX10002,2026-07-07,S001,P001,1,29.99,29.99
TX10003,2026-07-07,S001,P001,1,29.99,29.99
TX10004,2026-07-07,S001,P001,1,29.99,29.99
TX10005,2026-07-07,S001,P002,2,89.99,179.98
TX10006,2026-07-07,S001,P002,1,89.99,89.99
TX10007,2026-07-07,S001,P003,1,39.99,39.99
TX10008,2026-07-07,S001,P003,1,39.99,39.99
TX10009,2026-07-07,S001,P003,2,39.99,79.98
TX10010,2026-07-07,S001,P004,1,149.99,149.99
TX10011,2026-07-07,S001,P006,2,34.99,69.98
TX10012,2026-07-07,S001,P007,3,9.99,29.97
TX10013,2026-07-07,S001,P007,3,9.99,29.97
TX10014,2026-07-07,S001,P007,1,9.99,9.99
TX10015,2026-07-07,S001,P008,3,12.99,38.97
TX10016,2026-07-07,S001,P008,2,12.99,25.98
TX10017,2026-07-07,S001,P008,1,12.99,12.99
TX10018,2026-07-07,S001,P009,1,14.99,14.99
TX10019,2026-07-07,S001,P009,1,14.99,14.99
TX10020,2026-07-07,S001,P009,1,14.99,14.99
TX10021,2026-07-07,S001,P009,1,14.99,14.99
TX10022,2026-07-07,S001,P009,1,14.99,14.99
TX10023,2026-07-07,S001,P010,3,19.99,59.97
TX10024,2026-07-07,S001,P010,1,19.99,19.99
TX10025,2026-07-07,S001,P010,1,19.99,19.99
TX10026,2026-07-07,S001,P011,1,24.99,24.99
TX10027,2026-07-07,S001,P011,3,24.99,74.97
TX10028,2026-07-07,S001,P011,1,24.99,24.99
TX10029,2026-07-07,S001,P012,1,59.99,59.99
TX10030,2026-07-07,S001,P013,2,22.99,45.98
TX10031,2026-07-07,S001,P015,2,11.99,23.98
TX10032,2026-07-07,S001,P015,1,11.99,11.99
TX10033,2026-07-07,S002,P001,2,29.99,59.98
TX10034,2026-07-07,S002,P001,1,29.99,29.99
TX10035,2026-07-07,S002,P002,2,89.99,179.98
TX10036,2026-07-07,S002,P004,1,149.99,149.99
TX10037,2026-07-07,S002,P004,1,149.99,149.99
TX10038,2026-07-07,S002,P004,1,149.99,149.99
TX10039,2026-07-07,S002,P006,1,34.99,34.99
TX10040,2026-07-07,S002,P007,2,9.99,19.98
TX10041,2026-07-07,S002,P007,2,9.99,19.98
TX10042,2026-07-07,S002,P008,1,12.99,12.99
TX10043,2026-07-07,S002,P008,1,12.99,12.99
TX10044,2026-07-07,S002,P008,2,12.99,25.98
TX10045,2026-07-07,S002,P008,1,12.99,12.99
TX10046,2026-07-07,S002,P009,1,14.99,14.99
TX10047,2026-07-07,S002,P009,2,14.99,29.98
TX10048,2026-07-07,S002,P009,1,14.99,14.99
TX10049,2026-07-07,S002,P009,2,14.99,29.98
TX10050,2026-07-07,S002,P009,1,14.99,14.99
TX10051,2026-07-07,S002,P010,1,19.99,19.99
TX10052,2026-07-07,S002,P011,1,24.99,24.99
TX10053,2026-07-07,S002,P012,1,59.99,59.99
TX10054,2026-07-07,S002,P012,1,59.99,59.99
TX10055,2026-07-07,S002,P013,2,22.99,45.98
TX10056,2026-07-07,S002,P013,1,22.99,22.99
TX10057,2026-07-07,S002,P015,1,11.99,11.99
TX10058,2026-07-07,S002,P015,1,11.99,11.99
TX10059,2026-07-07,S003,P001,1,29.99,29.99
TX10060,2026-07-07,S003,P001,3,29.99,89.97
TX10061,2026-07-07,S003,P001,1,29.99,29.99
TX10062,2026-07-07,S003,P002,2,89.99,179.98
TX10063,2026-07-07,S003,P006,2,34.99,69.98
TX10064,2026-07-07,S003,P007,2,9.99,19.98
TX10065,2026-07-07,S003,P007,1,9.99,9.99
TX10066,2026-07-07,S003,P008,1,12.99,12.99
TX10067,2026-07-07,S003,P008,2,12.99,25.98
TX10068,2026-07-07,S003,P009,1,14.99,14.99
TX10069,2026-07-07,S003,P009,1,14.99,14.99
TX10070,2026-07-07,S003,P009,3,14.99,44.97
TX10071,2026-07-07,S003,P009,1,14.99,14.99
TX10072,2026-07-07,S003,P010,1,19.99,19.99
TX10073,2026-07-07,S003,P011,1,24.99,24.99
TX10074,2026-07-07,S003,P013,1,22.99,22.99
TX10075,2026-07-07,S003,P013,1,22.99,22.99
TX10076,2026-07-07,S003,P015,2,11.99,23.98
TX10077,2026-07-07,S004,P001,2,29.99,59.98
TX10078,2026-07-07,S004,P002,1,89.99,89.99
TX10079,2026-07-07,S004,P003,2,39.99,79.98
TX10080,2026-07-07,S004,P007,1,9.99,9.99
TX10081,2026-07-07,S004,P008,1,12.99,12.99
TX10082,2026-07-07,S004,P008,1,12.99,12.99
TX10083,2026-07-07,S004,P009,2,14.99,29.98
TX10084,2026-07-07,S004,P011,1,24.99,24.99
TX10085,2026-07-08,S001,P001,3,29.99,89.97
TX10086,2026-07-08,S001,P001,2,29.99,59.98
TX10087,2026-07-08,S001,P001,3,29.99,89.97
TX10088,2026-07-08,S001,P002,3,89.99,269.97
TX10089,2026-07-08,S001,P002,1,89.99,89.99
TX10090,2026-07-08,S001,P003,1,39.99,39.99
TX10091,2026-07-08,S001,P003,3,39.99,119.97
TX10092,2026-07-08,S001,P003,2,39.99,79.98
TX10093,2026-07-08,S001,P004,1,149.99,149.99
TX10094,2026-07-08,S001,P004,1,149.99,149.99
TX10095,2026-07-08,S001,P006,1,34.99,34.99
TX10096,2026-07-08,S001,P007,1,9.99,9.99
TX10097,2026-07-08,S001,P007,1,9.99,9.99
TX10098,2026-07-08,S001,P007,2,9.99,19.98
